workclass,education,marital-status,occupation,relationship,race,native-country,age,fnlwgt,education-nums,capital-gain,capital-loss,hours-per-week,sex,>50K
2,4,1,5,3,1,1,52,209642,9,0,0,45,0,1
1,11,3,6,4,1,1,31,45781,14,14084,0,50,1,1
1,1,1,5,3,1,1,42,159449,13,5178,0,40,0,1
1,2,1,5,3,5,1,37,280464,10,0,0,80,0,1
6,1,1,6,3,2,8,30,141297,13,0,0,40,0,1
1,7,1,2,3,2,0,40,121772,11,0,0,40,0,1
2,11,2,5,6,1,1,43,292175,14,0,0,45,1,1
1,14,1,6,3,1,1,40,193524,16,0,0,60,0,1
5,1,1,1,3,1,1,56,216851,13,0,0,40,0,1
0,2,1,0,3,2,11,54,180211,10,0,0,60,0,1
1,2,1,4,3,1,0,31,84154,10,0,0,38,0,1
4,1,1,6,3,5,1,57,337895,13,0,0,40,0,1
1,5,1,6,1,1,15,47,51835,15,0,1902,60,1,1
4,1,2,5,4,1,1,50,251585,13,0,0,55,0,1
1,2,1,1,3,1,1,43,237993,10,0,0,40,0,1
1,14,1,6,3,1,1,42,116632,16,0,0,45,0,1
1,4,1,9,1,1,1,53,169846,9,0,0,40,1,1
3,2,1,5,3,1,1,49,191681,10,0,0,50,0,1
2,1,1,4,3,1,1,29,162298,13,0,0,70,0,1
1,4,2,2,4,1,1,44,343591,9,14344,0,40,1,1
5,4,1,13,3,1,1,49,268234,9,0,0,40,0,1
4,14,3,6,4,1,1,43,410867,16,0,0,50,1,1
5,1,1,13,3,1,1,34,226296,13,0,0,40,0,1
2,14,1,6,3,1,1,48,191277,16,0,1902,60,0,1
1,2,1,4,3,1,1,37,202683,10,0,0,48,0,1
1,11,1,5,3,1,1,76,124191,14,0,0,40,0,1
1,1,1,5,3,1,1,44,198282,13,15024,0,60,0,1
3,4,1,2,3,1,1,32,317660,9,7688,0,40,0,1
1,5,1,6,3,1,1,38,65324,15,0,0,40,0,1
2,4,1,3,3,1,5,56,335605,9,0,1887,50,0,1
5,7,1,2,3,5,1,49,197371,11,0,0,40,0,1
6,1,1,6,3,1,1,29,267989,13,0,0,50,0,1
1,1,1,5,1,1,1,47,287828,13,0,0,40,1,1
1,6,1,9,3,1,1,31,114937,12,0,0,40,0,1
4,11,1,6,3,1,14,38,125933,14,0,0,40,0,1
1,2,1,2,3,2,1,49,81973,10,0,0,40,0,1
1,7,3,6,4,1,1,45,196584,11,0,1564,40,1,1
0,4,2,0,4,1,1,52,252903,9,0,0,45,0,1
2,11,1,4,3,1,1,45,201080,14,0,0,40,0,1
